Date,Close,High,Low,Open,Volume,Ticker
2019-01-01,498.49053955078125,501.29208648414647,493.64350536313725,500.38048095824377,9746670,RELIANCE.NS
2019-01-02,491.99822998046875,501.15872336812794,489.5969165762727,495.60015556027656,15628818,RELIANCE.NS
2019-01-03,485.9283142089844,495.6446470445033,484.74990584992383,492.48739248563277,16288287,RELIANCE.NS
2019-01-04,488.5518798828125,491.1310616004377,480.7476934262198,487.9960409464638,18516544,RELIANCE.NS
2019-01-07,491.2645263671875,497.3567000020006,489.59694997421326,492.2650662661068,12060290,RELIANCE.NS
2019-01-08,491.2200622558594,493.57687903332504,487.3735375588875,491.4201643000039,12304389,RELIANCE.NS
2019-01-09,493.9325866699219,496.7118706154236,488.5741504955051,494.4884553327521,12614237,RELIANCE.NS
2019-01-10,492.48736572265625,494.04377419977465,490.4862860716892,492.59853351611844,8925160,RELIANCE.NS
2019-01-11,488.2851257324219,495.2889048168985,484.082864218601,492.531854365571,14139060,RELIANCE.NS
2019-01-14,487.72930908203125,489.374622256868,483.10458003842365,486.92887121313214,8994060,RELIANCE.NS
2019-01-15,502.3371887207031,503.3821957876693,491.3757164560614,491.3757164560614,22011407,RELIANCE.NS
2019-01-16,505.1164245605469,509.1630510728316,502.64841043601535,504.7161611262395,13961606,RELIANCE.NS
2019-01-17,504.4716491699219,510.45262534337485,502.49277323994625,508.9184799903657,16379077,RELIANCE.NS
2019-01-18,526.6613159179688,529.1293300822731,504.8273667420513,510.85280980484947,56181172,RELIANCE.NS
2019-01-21,550.3853149414062,551.3858550027534,528.5735653515023,530.9526457454004,48206814,RELIANCE.NS
2019-01-22,549.251220703125,554.4985184377442,542.3363764530338,548.2284770466869,36207430,RELIANCE.NS
2019-01-23,545.3158569335938,553.275709031057,543.4037113706246,548.4286147581106,19313542,RELIANCE.NS
2019-01-24,554.7208862304688,557.2778345730263,542.5588029080949,544.7377510626503,28775487,RELIANCE.NS
2019-01-25,554.0760498046875,562.3916378569832,549.3624168361791,556.0549254924592,18703992,RELIANCE.NS
2019-01-28,546.7611083984375,558.5007853675066,543.5816199737301,556.0772380521597,18744303,RELIANCE.NS
