Date,Close,High,Low,Open,Volume,Ticker,SMA_20,SMA_50,SMA_200,EMA_20,RSI_14,MACD,MACD_Signal,MACD_Diff,BB_Upper,BB_Lower,BB_Width,OBV,Close_Lag_1,Close_Lag_3,Close_Lag_5,Close_Lag_10,Daily_Return,Volatility_20d,DayOfWeek,Month
2019-10-29,656.2893676757812,662.0825743744294,645.1278977377407,646.6489146143203,25768505,RELIANCE.NS,612.8379516601562,579.4072631835937,569.0373085021972,615.2883092362657,74.94860956710882,21.057545910453655,18.171020238383207,2.886525672070448,657.5144482250925,568.16145509522,14.58019903757891,216640611,641.6162109375,642.600341796875,632.6244506835938,607.5054931640625,0.022869055501016033,0.013447635959978273,1,10
2019-10-30,661.6799926757812,664.1180871998608,653.2697550954862,662.0825989955799,16341366,RELIANCE.NS,616.6415710449219,581.235595703125,569.8532554626465,619.7065648019338,76.22979478602888,22.138706699950376,18.96455753069664,3.1741491692537345,664.253858342166,569.0292837476777,15.442451347081057,232981977,656.2893676757812,640.2517700195312,622.8944091796875,610.2567749023438,0.008213792978378764,0.013435140238154382,2,10
2019-10-31,655.08154296875,666.39961281965,653.8960611110986,663.8720501104048,19463741,RELIANCE.NS,619.5963409423828,582.8111730957031,570.668672027588,623.0756103416305,71.41521586226335,22.20710498631763,19.61306702182084,2.594037964496792,669.0150034549441,570.1776784298214,15.95188972142651,213518236,661.6799926757812,641.6162109375,642.600341796875,613.925048828125,-0.00997226722897826,0.013612217219999348,3,10
2019-11-01,651.7487182617188,653.9407456609271,644.6358276540866,650.8987716125406,13904301,RELIANCE.NS,622.9962280273437,584.4118029785157,571.4977740478515,625.806382524496,69.04324157099087,21.74175460742549,20.038804538941772,1.7029500684837195,671.4291127207026,574.5633433339848,15.548371728258093,199613935,655.08154296875,656.2893676757812,640.2517700195312,624.7286376953125,-0.005087648618410601,0.012490065158983472,4,11
2019-11-04,652.084228515625,658.0563711617599,646.4699581291821,655.7748757812135,14063434,RELIANCE.NS,626.2753234863281,585.888515625,572.3154357910156,628.3090345236512,69.15431027871871,21.156158922195687,20.26227541559256,0.8938835066031281,673.2390939032101,579.3115530694462,14.997803252232789,213677369,651.7487182617188,661.6799926757812,641.6162109375,633.6085205078125,0.0005147846777528997,0.012540893415320723,0,11
2019-11-05,647.4540405273438,657.1392263257901,644.6357370459264,654.5222558323327,12685356,RELIANCE.NS,629.3888977050781,587.421591796875,573.0963835144044,630.1323684287647,65.65347659484709,20.086903330176256,20.2272009985093,-0.14029766833304436,673.1930397440982,585.584755666058,13.91957888000308,200992013,652.084228515625,655.08154296875,656.2893676757812,632.6244506835938,-0.007100598029829985,0.012741666753856198,1,11
2019-11-06,641.906982421875,647.0739130856232,639.0439442858003,645.3963568103856,14625505,RELIANCE.NS,632.180386352539,588.8884619140625,573.8498184204102,631.2537602376324,61.62833263740335,18.577756526531743,19.89731210411379,-1.3195555775820473,671.4715207951322,592.8892519099459,12.430355414627565,186366508,647.4540405273438,651.7487182617188,661.6799926757812,622.8944091796875,-0.008567493224616696,0.013087796612016223,2,11
2019-11-07,652.5092163085938,654.4775136905121,640.6990736670325,641.9516862714436,14084039,RELIANCE.NS,635.1742950439453,590.783896484375,574.6427015686036,633.2780893872477,65.92805104378795,18.029426474451384,19.52373497818131,-1.4943085037299255,670.9200840841977,599.428506003693,11.255426839267557,200450547,641.906982421875,652.084228515625,655.08154296875,642.600341796875,0.016516776070447436,0.01328105556600096,3,11
2019-11-08,646.6488037109375,652.9788177303934,644.7699148856392,648.2145543528529,12019353,RELIANCE.NS,637.0252136230469,592.3017639160156,575.4135087585449,634.5514907514087,61.805447303188245,16.926862306490534,19.004360443843154,-2.0774981373526202,671.0824143164347,602.968012929659,10.692575416187784,188431194,652.5092163085938,647.4540405273438,651.7487182617188,640.2517700195312,-0.008981348387399168,0.012371311880244701,4,11
2019-11-11,638.7307739257812,646.0897317907238,636.3821474784538,643.7858393788213,11357841,RELIANCE.NS,638.7072662353515,593.7422399902343,576.1657371520996,634.9495177203966,56.65099506887839,15.238493561762311,18.251187067426986,-3.012693505664675,669.4510846898611,607.963447780842,9.62688858566423,177073353,646.6488037109375,641.906982421875,652.084228515625,641.6162109375,-0.012244714193727524,0.012628813732370417,0,11
2019-11-13,658.637939453125,660.248424410004,639.7149054535805,639.7149054535805,25225749,RELIANCE.NS,641.2638885498047,595.508837890625,577.020280456543,637.2055578854183,64.63628407175739,15.330075486885676,17.666964751318726,-2.336889264433051,669.6147848487423,612.9129922508672,8.842193301435408,202299102,638.7307739257812,652.5092163085938,647.4540405273438,656.2893676757812,0.03116675497720256,0.014137374797036084,2,11
2019-11-14,654.3657836914062,662.798358618493,651.2566785637106,660.2931928467199,14258133,RELIANCE.NS,643.4693389892578,597.2933288574219,577.7804237365723,638.8398651050362,61.99689287064789,14.886327242251127,17.11083724950521,-2.224510007254082,668.4965439131119,618.4421340654038,7.7788337088962125,188040969,658.637939453125,646.6488037109375,641.906982421875,661.6799926757812,-0.006486349336732644,0.01433473242793182,3,11
2019-11-15,657.9893798828125,665.1246679644767,654.5447395149349,655.6631501873038,15691605,RELIANCE.NS,645.6725555419922,599.3431018066407,578.5447883605957,640.6636284172054,63.36342440035547,14.658078288165257,16.62028545723722,-1.962207169071963,667.4564402936312,623.8886707903532,6.747657017372561,203732574,654.3657836914062,638.7307739257812,652.5092163085938,655.08154296875,0.005537569783928609,0.014330917872002748,4,11
2019-11-18,652.777587890625,664.766606333952,651.0776350570546,658.7944641268749,14076051,RELIANCE.NS,647.0750030517578,601.2278002929687,579.2863177490234,641.8173388432454,60.02045940567221,13.896451646263472,16.075518695042472,-2.1790670487790003,666.7990228444734,627.3509832590422,6.096362770835674,189656523,657.9893798828125,658.637939453125,646.6488037109375,651.7487182617188,-0.00792078436450705,0.014150981233171765,0,11
2019-11-19,675.3914184570312,677.695311064439,655.3723685179723,656.2670493023915,30176255,RELIANCE.NS,649.1641479492188,603.9418933105469,580.0299682617188,645.0148702350346,67.92726305614813,14.945323790854218,15.849479714204822,-0.9041559233506042,671.4278739858154,626.9004219126222,6.859197664236443,219832778,652.777587890625,654.3657836914062,638.7307739257812,652.084228515625,0.03464247392359199,0.015708340586824486,1,11
2019-11-20,692.345947265625,703.4179480639135,690.355253088663,695.6563849014791,43538120,RELIANCE.NS,652.1502227783203,607.0420495605468,580.7397720336915,649.5225918569956,72.34353753430956,16.949270660482853,16.06943790346043,0.8798327570224238,680.0469639285953,624.2534816280453,8.55531139173059,263370898,675.3914184570312,657.9893798828125,658.637939453125,647.4540405273438,0.025103263596874426,0.016389735978035933,2,11
2019-11-21,687.85009765625,696.0813988250823,683.8015779854442,691.1605356274156,14897371,RELIANCE.NS,655.3980072021484,610.0751025390625,581.4327661132812,653.1728305045436,69.60650113363215,17.967517148925708,16.449053752553485,1.5184633963722227,684.0293089459951,626.7667054583017,8.73707317667074,248473527,692.345947265625,652.777587890625,654.3657836914062,641.906982421875,-0.006493646170864564,0.015932285441580707,3,11
2019-11-22,691.83154296875,702.1206693826493,687.8500945047838,689.8631857536991,22352865,RELIANCE.NS,657.8595672607422,612.9739501953125,582.1653448486328,656.8546126439918,70.66497692314498,18.878138757119586,16.934870753466708,1.9432680036528787,689.9257298871798,625.7934046343046,9.748634578640468,270826392,687.85009765625,675.3914184570312,657.9893798828125,652.5092163085938,0.005788245616401344,0.014663527285953142,4,11
2019-11-25,698.564208984375,700.0180949160125,693.844619201281,693.9117501131308,15146156,RELIANCE.NS,660.7751892089843,616.0101342773437,582.8845614624023,660.8269551525997,72.41447126655234,19.913532021114975,17.530603006996362,2.382929014118613,696.3223697868757,625.228008631093,10.759235866723444,285972548,691.83154296875,692.345947265625,652.777587890625,646.6488037109375,0.009731655175382992,0.014610823167827377,0,11
2019-11-26,697.982666015625,705.1850244813896,696.0813800314871,701.4943771827839,35330983,RELIANCE.NS,663.5935119628906,618.9255334472656,583.6040948486328,664.3655942824116,72.01496071142628,20.451411839887783,18.11476477357465,2.336647066313134,701.4788158529004,625.7082080728808,11.41822613001329,250641565,698.564208984375,687.85009765625,675.3914184570312,638.7307739257812,-0.0008324832009293237,0.014650744521653006,1,11
2019-11-27,702.2772827148438,704.8048452673582,696.1261438952308,697.8484938217292,9642739,RELIANCE.NS,665.8929077148438,622.1420031738281,584.3816763305664,667.9762312759766,73.19123079722634,20.982353635845357,18.68828254602879,2.2940710898165655,707.1574698318293,624.6283455978582,12.393753301441171,260284304,697.982666015625,691.83154296875,692.345947265625,658.637939453125,0.0061528987872065954,0.013999168396755237,2,11
2019-11-28,706.9520874023438,708.67437747895,699.6378642088222,703.5297846773857,13747479,RELIANCE.NS,668.1565124511719,625.3155249023438,585.2246545410156,671.6882175737259,74.45013721993492,21.532137426714144,19.25705352216586,2.275083904548282,713.0551758811013,623.2578490212426,13.439564710733995,274031783,702.2772827148438,698.564208984375,687.85009765625,654.3657836914062,0.006656636634219781,0.013975789559626962,3,11
2019-11-29,693.9117431640625,707.6901835082276,692.4354603682556,707.6901835082276,18559594,RELIANCE.NS,670.0980224609375,628.3611047363281,586.035671081543,673.8047438204245,65.24604366598717,20.677243848680405,19.54109158746877,1.1361522612116346,715.9160052814808,624.2800396403942,13.675009113525388,255472189,706.9520874023438,697.982666015625,691.83154296875,657.9893798828125,-0.018445867083011658,0.014520530486176974,4,11
2019-12-02,709.7257690429688,722.229261317028,705.475915926694,715.765043427941,31225364,RELIANCE.NS,672.996875,631.8419616699218,586.8558306884765,677.2257938416192,70.0772453304367,21.03333506023432,19.83954028202188,1.1937947782124425,721.0843622756473,624.9093877243528,14.290552916949956,286697553,693.9117431640625,702.2772827148438,698.564208984375,652.777587890625,0.022789678996925966,0.015034013584509991,0,12
2019-12-03,706.3257446289062,713.0807625025484,703.5074409435476,712.521616976094,12990426,RELIANCE.NS,675.708950805664,635.1810034179688,587.6082965087891,679.9972177261228,67.89203124483024,20.801400756367116,20.031912376890926,0.76948837947619,724.8788599507388,626.5390416605892,14.5535763841661,273707127,709.7257690429688,706.9520874023438,697.982666015625,675.3914184570312,-0.004790617112081619,0.015152078545291188,1,12
2019-12-04,694.6051635742188,705.6995024548221,686.1277955034981,703.6864112318285,20987607,RELIANCE.NS,678.0665069580078,638.524072265625,588.2111102294922,681.3884506640367,60.848090209364265,19.44765771898767,19.915061445310275,-0.46740372632260474,726.0997565016398,630.0332574143758,14.16771040915214,252719520,706.3257446289062,693.9117431640625,702.2772827148438,692.345947265625,-0.016593733335948713,0.015661898487245123,2,12
