Date,Close,High,Low,Open,Volume,Ticker
2019-01-01,553.4484252929688,554.4886636875473,544.3775769679785,550.0364636759074,2943390,INFY.NS
2019-01-02,556.7772827148438,560.8966376155556,550.9519467158691,554.2391107595846,7416655,INFY.NS
2019-01-03,556.8603515625,563.3930273527608,551.8255578772572,559.2320744181023,6827249,INFY.NS
2019-01-04,550.1196899414062,560.8133716481908,541.7561829893202,559.0241412028815,7889310,INFY.NS
2019-01-07,558.982421875,560.5635534988111,550.4940678136285,553.4067348390973,8046340,INFY.NS
2019-01-08,557.609375,563.7676065703065,556.3610889351722,561.6871297955935,8621545,INFY.NS
2019-01-09,562.6441650390625,574.045188863342,552.5746769361488,571.0493223778338,18130292,INFY.NS
2019-01-10,565.6400756835938,567.5541042931591,559.6898913698144,567.2212076684983,9572493,INFY.NS
2019-01-11,568.8024291992188,570.4668108501309,559.6483301192021,566.0562096337932,12281903,INFY.NS
2019-01-14,584.11474609375,591.0219196136802,579.1632006475647,588.3588988802541,19312937,INFY.NS
2019-01-15,604.6697387695312,607.4992074501533,588.5252697596031,588.5252697596031,19671304,INFY.NS
2019-01-16,613.158203125,613.9903939682188,606.2510292848639,607.4161167825295,9658944,INFY.NS
2019-01-17,610.2871704101562,614.9890692677262,606.7503591186978,612.3260482544008,6903771,INFY.NS
2019-01-18,608.289794921875,612.6587960437128,604.4200878968061,607.4992036079171,5902151,INFY.NS
2019-01-21,619.9821166992188,624.9752612632393,610.8280183318477,614.3232296852407,8129422,INFY.NS
2019-01-22,620.2732543945312,623.3107704555605,610.827911234154,616.8612931911672,6723375,INFY.NS
2019-01-23,608.872314453125,617.9847615120964,606.8334371850922,617.7767138478662,7212099,INFY.NS
2019-01-24,612.512451171875,615.9431698821037,603.3080290914234,609.2490447326843,7429783,INFY.NS
2019-01-25,611.1316528320312,617.4492731148181,606.0274037915924,609.1652743669717,5543112,INFY.NS
2019-01-28,609.1233520507812,613.0142803188987,601.6342918886505,611.6754761760828,7944693,INFY.NS
2019-01-29,609.0816040039062,613.2235522088587,599.542457248979,607.0733464537813,6760819,INFY.NS
2019-01-30,607.4080810546875,614.8552631674062,603.3915659016351,609.0816120110889,5763026,INFY.NS
2019-01-31,627.1974487304688,628.6617880716116,607.4916352397968,607.4916352397968,13825233,INFY.NS
2019-02-01,633.473388671875,638.0337714164227,622.9719905829859,628.7038145268627,6276585,INFY.NS
2019-02-04,632.5109252929688,638.0335559715538,626.9045874391917,633.4313467153656,3945391,INFY.NS
2019-02-05,631.6323852539062,635.899919731023,625.0637968404512,625.0637968404512,4694366,INFY.NS
2019-02-06,638.7030639648438,641.7572783158081,631.2140029002915,632.2181316644517,5880482,INFY.NS
2019-02-07,639.2887573242188,643.8491389096047,636.7784611567153,638.4938199900881,3961797,INFY.NS
2019-02-08,636.6948852539062,646.1921531885313,631.674292286433,635.9417758799401,5915169,INFY.NS
2019-02-11,638.28466796875,643.2634325554711,635.1049695084262,641.7154369189782,5500216,INFY.NS
2019-02-12,627.9506225585938,636.2345696116539,620.0431790885888,636.2345696116539,7310690,INFY.NS
2019-02-14,619.2481689453125,630.0842901253684,616.9052362482443,628.410759474305,4610535,INFY.NS
2019-02-15,620.838134765625,624.6454073421027,613.0143471784224,621.1309822437732,5586389,INFY.NS
2019-02-18,620.0850219726562,625.6077045455282,615.8593666954855,621.1728068352779,5346825,INFY.NS
2019-02-19,606.0692138671875,619.6666526236781,603.5589174813739,618.4533324894461,9401334,INFY.NS
2019-02-20,619.792236328125,621.7167868266243,607.5336009234917,608.3285383889042,5210675,INFY.NS
2019-02-21,613.7256469726562,617.5329196640216,608.4121555707626,617.5329196640216,7202786,INFY.NS
2019-02-22,614.9808349609375,617.700322926685,609.1653043274544,612.9307492031048,3750833,INFY.NS
2019-02-25,631.6741943359375,634.2681465380559,615.4827538832928,615.4827538832928,6547552,INFY.NS
2019-02-26,621.29833984375,629.749650367663,619.3319614865563,626.4025886041949,8319610,INFY.NS
2019-02-27,615.2317504882812,624.5617049775716,613.1398370218132,623.390213007507,5936354,INFY.NS
2019-02-28,614.4367065429688,621.2145356415381,612.763176060176,618.118494033952,8559921,INFY.NS
2019-03-01,620.79638671875,622.0515350533434,615.4410667289715,615.4410667289715,3998826,INFY.NS
2019-03-05,612.9306030273438,621.2982563109935,611.0478810385225,619.6247256542636,4826505,INFY.NS
2019-03-06,612.9306030273438,615.9429377806166,608.3283937213364,615.9429377806166,6076668,INFY.NS
2019-03-07,604.9396362304688,614.6042676655175,602.9313785757591,614.1858849101291,5951551,INFY.NS
2019-03-08,596.06982421875,604.9395682799476,594.6473638678999,604.9395682799476,7193994,INFY.NS
2019-03-11,595.1494140625,601.2159634501318,593.6014184407064,596.8647729852706,9932198,INFY.NS
2019-03-12,591.5514526367188,598.2455774537191,590.4217884305784,593.2668119066512,11997387,INFY.NS
2019-03-13,592.8065185546875,601.2996575912193,591.0074523315996,594.1034948430915,11348867,INFY.NS
2019-03-14,592.7227172851562,598.2035712042168,590.9237024197223,597.4504619577814,6415187,INFY.NS
2019-03-15,601.2576904296875,605.6088801630685,593.768630850902,595.776887980801,14638664,INFY.NS
2019-03-18,594.2708740234375,605.5672083819586,590.2125306661821,603.7681421108302,8065544,INFY.NS
2019-03-19,604.3538818359375,607.9101352077655,591.9279346008663,596.4464376535681,8917337,INFY.NS
2019-03-20,618.3279418945312,621.1310861874219,608.4541181637283,608.5377742937387,13471173,INFY.NS
2019-03-22,621.8004150390625,624.5199028809017,612.7633579636808,623.3902898985211,8883260,INFY.NS
2019-03-25,615.2317504882812,621.2146434312226,611.2989429569,621.2146434312226,7644966,INFY.NS
2019-03-26,608.9561157226562,615.2318572106947,601.7180734442727,615.2318572106947,9406261,INFY.NS
2019-03-27,610.587646484375,612.7632158243465,608.4539051947683,610.838665858664,7387487,INFY.NS
2019-03-28,617.3656005859375,623.3903226433567,610.8388396371147,610.8388396371147,9277241,INFY.NS
2019-04-01,631.8416137695312,635.9417851817856,620.880006059059,620.880006059059,6584982,INFY.NS
2019-04-02,635.4396362304688,640.7949039031533,631.4231216358245,635.1049096568802,7283600,INFY.NS
2019-04-03,630.3353881835938,634.6865786338706,624.8964128887748,632.5946650589402,6897127,INFY.NS
2019-04-04,625.8168334960938,630.7537184793812,623.4738496292,628.7455122576065,7688525,INFY.NS
2019-04-05,635.3560791015625,636.7367627035572,625.9006384938198,628.3272790451692,6276040,INFY.NS
2019-04-08,642.0082397460938,644.3093445480511,632.0925903919564,638.4938149250469,4919911,INFY.NS
2019-04-09,636.4437866210938,646.8196987241678,634.4355801661219,644.3094023513702,6730692,INFY.NS
2019-04-10,629.833251953125,641.5479661610988,628.6617601034873,639.2886896351408,7031088,INFY.NS
2019-04-11,621.4657592773438,629.0384769867387,619.2483102299217,629.0384769867387,8200995,INFY.NS
2019-04-12,625.69140625,628.8711049539993,619.7085124614923,621.800426223612,7043212,INFY.NS
2019-04-15,608.7468872070312,611.9684138788698,596.2790611158019,606.4039540755022,31574803,INFY.NS
2019-04-16,605.9017333984375,609.0814823966288,597.534080397094,609.0814823966288,12524411,INFY.NS
2019-04-18,600.0026245117188,604.5630061915296,596.4045434782183,604.5630061915296,13801105,INFY.NS
2019-04-22,603.3497314453125,607.2825393655814,598.2873105702938,600.0026695679962,6455426,INFY.NS
2019-04-23,609.3326416015625,610.8388092730187,601.1323499928678,605.7345601997193,5516668,INFY.NS
2019-04-24,616.2359008789062,617.4492209466289,605.8181612344177,609.3325861963318,8285120,INFY.NS
2019-04-25,609.62548828125,617.2400848929625,608.3703400446931,616.2359560892945,8005235,INFY.NS
2019-04-26,617.532958984375,619.0391267186944,610.0020692406631,611.6756002948213,6895168,INFY.NS
2019-04-30,628.70361328125,630.7536985640005,617.5328165010278,617.5328165010278,9920046,INFY.NS
2019-05-02,611.508056640625,626.235156217449,610.4202719906339,625.0636643961666,6351352,INFY.NS
2019-05-03,605.4835205078125,611.6756058937223,600.9650172634946,604.8978254911879,6348116,INFY.NS
2019-05-06,601.13232421875,603.977296126828,594.6473919325978,598.2873012385617,8858265,INFY.NS
2019-05-07,606.2783203125,609.0815148606206,601.3832634746483,602.8057747751166,5747536,INFY.NS
2019-05-08,601.9271850585938,607.4916955360802,599.5424240380186,603.3078684318372,6247642,INFY.NS
2019-05-09,603.3497314453125,611.0898120366065,598.9567127313348,601.7599076968539,7396525,INFY.NS
2019-05-10,599.835205078125,607.4916282598275,598.2872096498301,603.1404383388627,8352335,INFY.NS
2019-05-13,602.22021484375,607.868382665409,595.8607656160921,599.5843827647948,6808993,INFY.NS
2019-05-14,597.324951171875,600.5883566105133,588.7481059538217,599.5423998766043,10513001,INFY.NS
2019-05-15,599.2077026367188,606.822298675734,596.2790236383534,598.2036249806804,6668929,INFY.NS
2019-05-16,613.4327392578125,616.6961449857673,601.7180227994668,602.4711321434904,6468556,INFY.NS
2019-05-17,605.7344970703125,615.691974745923,602.5547476738263,613.4745770660766,8155948,INFY.NS
